Karnataka RERA No.,Property Type,BHK Options,Starting Price (Rs Lakh),Possession,Sale Status,Source URL,Entered By,Entered On,Notes
PRM/KA/RERA/1251/309/PR/050325/007545,Apartment,"1, 2, 3, 4 BHK",78.70 L,Under construction,Available,https://www.squareyards.com/projects-by-abhee-ventures-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Abhee Aaria' (Gunjur); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/071123/006380,Apartment,"2, 3 BHK",1.48 Cr,Under construction,Available,https://www.squareyards.com/projects-by-abhee-ventures-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Abhee Celestial City' (Sarjapur); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/220223/005739,Apartment,"2, 3 BHK",88.39 L,Ready to move,Available,https://www.squareyards.com/projects-by-abhee-ventures-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Abhee Pride' (Chandapura); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/210324/006722,Apartment,"2, 3 BHK",1.20 Cr,Under construction,Available,https://www.squareyards.com/projects-by-abhee-ventures-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Abhee Riviera Royale' (Kudlu Gate); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/091024/007139,Apartment,"2 BHK, 3 BHK",1.58 Cr,Under construction,Available,https://www.squareyards.com/projects-by-adarsh-developers-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Adarsh Lumina' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/311224/007335,Apartment,"2 BHK, 3 BHK",1.91 Cr,Under construction,Available,https://www.squareyards.com/projects-by-adarsh-developers-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Adarsh Rosewood' (Bellandur); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/201001/003613,Plots,,62.40 L,Ready to move,Available,https://www.squareyards.com/projects-by-adarsh-developers-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Adarsh Savana' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/040823/006112,Plots,,1.08 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-adarsh-developers-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Adarsh Euphoria' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/110823/006145,Apartment,"1 BHK, 2 BHK, 3 BHK",83.85 L,Under construction,Available,https://www.squareyards.com/projects-by-adarsh-developers-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Adarsh Parkland' (Panathur); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/080725/007900,Apartment,"1 BHK, 2 BHK, 3 BHK, 4 BHK",1.16 Cr,Under construction,Available,https://www.squareyards.com/projects-by-adarsh-developers-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Adarsh Welkin Park' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/020923/006223,Apartment,"1 BHK, 2 BHK, 3 BHK, 4 BHK",1.16 Cr,Under construction,Available,https://www.squareyards.com/projects-by-adarsh-developers-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Adarsh Welkin Park' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/300124/006600,Apartment,2 BHK,35.50 L,Ready to move,Available,https://www.squareyards.com/projects-by-arvind-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Arvind Orchards' (Sahakara Nagar); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/090726/008800,Apartment,"3, 4 BHK",1.95 Cr,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Arvind Sylva' (Mullur); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/271023/006354,Apartment,5 BHK,2.30 Cr,Under construction,Available,https://www.squareyards.com/projects-by-arvind-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Arvind Forest Trails' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/030126/008380,Apartment,2 BHK,35.50 L,Ready to move,Available,https://www.squareyards.com/projects-by-arvind-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Arvind Orchards' (Sahakara Nagar); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/220726/008831,Apartment,"2 BHK, 3 BHK",,Under construction,,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz KVN Niwa And Neo' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/130225/007501,Apartment,3 BHK,1.84 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Ren And Rei' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/280324/006745,Apartment,"3 BHK, 4 BHK, Studio",26.52 L,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Sora And Saki' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/060324/006692,Apartment,"3 BHK, 4 BHK, Studio",26.52 L,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Sora And Saki' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/300124/006601,Apartment,"3 BHK, 4 BHK",3.25 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz 66 And Shibui' (Whitefield Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/050523/005911,Apartment,3 BHK,1.99 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Bloom And Dell' (Whitefield Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/201222/005545,Apartment,3 BHK,1.99 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Bloom And Dell' (Whitefield Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/020824/006955,Apartment,3 BHK,1.73 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Canvas And Cove 2' (Begur); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/071223/006454,Apartment,3 BHK,1.73 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Canvas And Cove 2' (Begur); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/300124/006594,Apartment,3 BHK,2.38 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Inspira Melodies of Life Apartments' (Hosa Road); indicative, verify with builder"
